FromLevel	FromCode	FromName_da	FromName_en	FromProperty_PropertyName	ToLevel	ToCode	ToName_da	ToName_en	ToProperty_PropertyName
2	5.55.2	Distributionsanlæg (rør, ventiler m.m.)	Distribution systems (ducts, vents, etc.)						
2	5.55.3	Forbrugsanlæg (fordampere, køleflader, regulering, automatik m.m.)	Utilisation systems (evaporators, cooling surfaces, controls, automatics, etc.)						
1	5.56	Varme	Heating systems						
2	5.56.1	Forsyningsanlæg (kedler, varmevekslere, målere m.m.)	Supply systems (boilers, heaters, thermostats, etc.)						
2	5.56.2	Distributionsanlæg (rør, ventiler m.m.)	Distribution systems (ducts, vents, etc.)						
2	5.56.3	Forbrugsanlæg (varmeflader, varmeventilatorer, lokal automatik og regulering m.m.)	Utilisation systems (radiators, convectors, local automatics and controls, etc.)						
1	5.57	Ventilationsanlæg	Ventilation and air conditioning systems						
2	5.57.1	Forsyningsanlæg (ventilationscentraler m.m.)	Supply systems (air handling equipment, etc.)						
2	5.57.2	Distributionsanlæg (rør, ventiler m.m.)	Distribution systems (ducts, vents, etc.)						
2	5.57.3	Forbrugsanlæg (armaturer, emhætter, aftrækshætter m.m.)	Utilisation systems (fixtures, cooker hoods, vent fans, etc.)						
1	5.58	VVS-anlæg, bygning, øvrige	Other services (mainly piped, ducted), building						
2	5.58.1	Sprinkleranlæg	Sprinkler systems						
2	5.58.2	Vandrensningsanlæg	Water treatment systems						
2	5.58.3	Specialanlæg for væsker	Special treatment systems for liquids						
0	6	El- og mekaniske anlæg	Services (mainly electrical)						
1	6.60	El- og mekaniske anlæg, terræn	Site services, electrical and mechanical						
2	6.60.1	Stikledninger udenfor bygningen	Service lines outside building						
2	6.60.2	Vej- og pladsbelysningsanlæg	Road and outdoor lighting						
1	6.62	Højspændingsanlæg	Power supply systems						
2	6.62.1	Forsyning	Electrical supply systems						
2	6.62.2	Hovedfordeling	Primary distribution systems						
2	6.62.3	Maskiner og maskinanlæg	Machines and machine systems						
2	6.62.4	El-tekniske anlæg	Electrical installations						
2	6.62.5	Sekundære højspændingsanlæg	Secondary high voltage systems						
1	6.63	Lavspændingsanlæg	Electrical system						
2	6.63.1	Forsyning	Electrical supply systems						
2	6.63.2	Hovedfordeling	Primary distribution systems						
2	6.63.3	Maskiner og maskinanlæg	Machines and machine systems						
2	6.63.4	El-tekniske anlæg	Electrical installations						
2	6.63.5	Belysningsanlæg	Lighting systems						
2	6.63.6	El-varme	Electric heating systems						
2	6.63.7	El-apparater	Electrical appliances						
1	6.64	Elektronik og svagstrøm	Information and communication technology						
2	6.64.1	Kommunikationsanlæg	Communication systems						
2	6.64.2	Dataanlæg	Telephone, radio, tv and computer systems						
2	6.64.3	Informationsanlæg	Information and management systems						
