FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
3;369;Øvrigt, Altaner og altangange kompletteringer;;;;;;;
2;37;Tage, komplettering;;;;37;Tage, komplettering;;
3;371;Kviste;;;;37.1;Kviste m.m.;;
3;372;Ovenlys, røg- og taglemme;;;;37.2;Ovenlys og røglemme;;
3;373;Solskærme til ovenlys;;;;37.3;Solskærme til ovenlys;;
3;374;Sikring;;;;37.4; Snefang, rækværker, afskærmninger m.m;;
3;375;FRI;;;;;;;
3;376;Inddækninger;;;;37.6;Tagudhæng, vindskeder, stembrædder og inddækninger;;
3;377;Belægninger på færdige tagflader;;;;;;;
3;379;Øvrigt, Tagkompletteringer;;;;;;;
2;39;Kompletterende bygningsdele bygning, øvrige;;;;38;Kompletterende bygningsdele bygning, øvrige;;
1;4;Overfladebygningsdele;;;;4.;Overfladebygningsdele;;
2;40;Overflader, terræn;;;;40; Terræn, belægninger;;
3;401;Asfalt belægninger;;;;;;;
3;402;Betonstøbte belægninger;;;;;;;
3;403;Gummibelægninger;;;;;;;
3;404;Flise -og stenbelægninger;;;;;;;
3;405;Skærver og grus;;;;;;;
3;406;Brolægning;;;;;;;
3;407;Afstribninger og markeringer;;;;;;;
3;409;Øvrigt, Belægninger;;;;;;;
2;41;Udvendige vægoverflader;;;;41;Udvendige vægoverflader;;
3;411;FRI;;;;;;;
3;412;Beklædninger, påmurede, pudsede;;;;;;;
3;413;Beklædninger, monterede;;;;;;;
3;419;Øvrigt, Udvendige vægoverflader;;;;;;;
2;42;Indvendige vægoverflader;;;;42; Indvendige vægoverflader;;
3;421;FRI;;;;;;;
3;422;Beklædninger, påmurede, pudsede;;;;42.1;Indvendige vægoverflade;;
3;423;Beklædninger, monterede;;;;42.2;Indervægge kompletterende dele, overflader;;
3;429;Øvrigt, Indvendige vægoverflader;;;;;;;
2;43;Dæk og gulve, overflader;;;;43;Dæk og gulve, overflader;;
3;431;FRI;;;;;;;
3;432;Beklædninger, påmurede og støbte;;;;;;;
3;433;Beklædninger, monterede;;;;;;;
3;439;Øvrigt, Dæk og gulvoverflader;;;;;;;
2;44;Trapper og ramper, overflader;;;;44;Trapper og ramper, overflader;;
3;441;FRI;;;;;;;
3;442;Beklædninger, påmurede;;;;;;;
3;443;Beklædninger, monterede;;;;;;;
3;449;Øvrigt, Trapper og ramper, overflader;;;;;;;
2;45;Lofter, overflader;;;;45;Lofter, overflader;;
3;451;FRI;;;;;;;
3;452;Beklædninger, påmurede;;;;;;;
3;453;Beklædninger, monterede;;;;;;;
3;459;Øvrigt, Loftoverflader;;;;;;;
2;46;Altaner, overflader;;;;46;Altaner, overflader;;
3;461;FRI;;;;;;;
3;462;Beklædninger, påmurede;;;;;;;
3;463;Beklædninger, monterede;;;;;;;
3;469;Øvrigt, Altanoverflader;;;;;;;
2;47;Tage, overflader;;;;47;Tage, overflader;;
3;471;FRI;;;;;;;
3;472;Tagdækninger;;;;;;;
3;479;Øvrigt, Tagoverflader;;;;;;;
2;49;Overflader bygning, øvrige;;;;48;Overflader bygning, øvrige;;
1;5;VVS- og ventilationsanlæg;;;;5.;VVS-anlæg;;
2;50;VVS-anlæg, terræn;;;;;;;
3;501;Metal- og betonrør i jord;;;;;;;
3;502;Fleksible plastrør i jord;;;;;;;
3;503;Hårde plastrør i jord;;;;;;;
3;504;Brønde;;;;;;;
3;505;Riste/Linjedræn;;;;;;;
3;506;Udskiller (Olie, fedt, benzin mv.);;;;;;;
3;507;Sanitetstilslutninger;;;;;;;
3;508;Tilbehør;;;;;;;
3;509;Øvrigt, VVS-anlæg terræn;;;;;;;
2;51;Logistik;;;;;;;
3;511;Affalds- og logistiksystemer;;;;;;;
3;519;Øvrigt, Logistik;;;;;;;
2;52;Afløb og sanitet;;;;;;;
3;521;Spildevand, tilslutninger;;;;;;;
3;522;Toiletter, tilslutninger;;;;;;;
3;523;Vaske, tilslutninger;;;;;;;
3;524;Vand- og afløb, tilslutninger;;;;;;;
