FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
2;5.54.3;Forbr. anlæg (armaturer, gasradiatorer);;;;bt.gas.sam;Gas og luft;;
2;5.54.4;Automatik;;;;bt.gas.sam;Gas og luft;;
1;5.55;Køling;Cooling systems;;;bt.køl.sam;Køleanlæg (samlet);;
2;5.55.1;Forsyningsanlæg (aggregater m.m.);Supply systems (units, etc.);;;bt.køl.pro;Køleproduktionsanlæg;;
2;5.55.2;Distributionsanlæg (rør, ventiler m.m.);Distribution systems (ducts, vents, etc.);;;bt.køl.rør;Røranlæg;;
2;5.55.3;Forbrugsanlæg (fordampere, køleflader, regulering, automatik m.m.);Utilisation systems (evaporators, cooling surfaces, controls, automatics, etc.);;;bt.køl.for;Forbrugsanlæg;;
2;5.55.4;El-installationer og automatik;;;;bt.køl.sam;Køleanlæg;;
1;5.56;Varme;Heating systems;;;bt.var.sam;Varmeanlæg (samlet);;
2;5.56.1;Forsyningsanlæg (kedler, varmevekslere, målere m.m.);Supply systems (boilers, heaters, thermostats, etc.);;;bt.var.pro;Varmeproduktionsanlæg;;
2;5.56.2;Distributionsanlæg (rør, ventiler m.m.);Distribution systems (ducts, vents, etc.);;;bt.var.rør;Røranlæg;;
2;5.56.3;Forbrugsanlæg (varmeflader, varmeventilatorer, lokal automatik og regulering m.m.);Utilisation systems (radiators, convectors, local automatics and controls, etc.);;;bt.var.for;Varme, forbrugsanlæg;;
2;5.56.4;Automatik;;;;bt.var.pro;Varmeproduktionsanlæg;;
1;5.57;Ventilation;;;;bt.ven.sam;Ventilationsanlæg (samlet);;
2;5.57.1;Forsyningsanlæg (ventilationscentraler m.m.);Supply systems (air handling equipment, etc.);;;bt.ven.agg;Aggregat;;
2;5.57.2;Distributionsanlæg (rør, reguleringer m.m.);;;;bt.ven.kan;Kanal;;
2;5.57.3;Forbrugsanlæg (armaturer, emhætter, aftrækshætter m.m.);Utilisation systems (fixtures, cooker hoods, vent fans, etc.);;;bt.ven.iar;Indblæsningsarmatur;;
2;5.57.4;Automatik;;;;bt.ven.agg;Aggregat;;
1;5.58;Øvrige VVS-anlæg, bygning;;;;;;;
2;5.58.1;Sprinkleranlæg;Sprinkler systems;;;bt.van.for;Vand, Forbrugsanlæg;;
2;5.58.2;Vandrensningsanlæg;Water treatment systems;;;bt.van.beh;Vandbehandlingsanlæg;;
2;5.58.3;Specialanlæg for væsker;Special treatment systems for liquids;;;;;;
2;5.58.4;Automatik;;;;bt.aut.sam;Automationssystem;;
