level;FromCode;FromName_da;FromName_en;ToCode;ToName_da;ToName_en
2;5.56.1;Forsyningsanlæg (kedler, varmevekslere, målere m.m.);;;Tekniske anlæg;
2;5.56.2;Distributionsanlæg (rør, ventiler m.m.);;;Tekniske anlæg;
2;5.56.3;Forbrugsanlæg (varmeflader, varmeventilatorer, lokal automatik og regulering m.m.);;;Tekniske anlæg;
1;5.57;Ventilationsanlæg;;;Tekniske anlæg;
2;5.57.1;Forsyningsanlæg (ventilationscentraler m.m.);;;Tekniske anlæg;
2;5.57.2;Distributionsanlæg (rør, ventiler m.m.);;;Tekniske anlæg;
2;5.57.3;Forbrugsanlæg (armaturer, emhætter, aftrækshætter m.m.);;;Tekniske anlæg;
1;5.58;VVS-anlæg, bygning, øvrige;;;Tekniske anlæg;
2;5.58.1;Sprinkleranlæg;;;Tekniske anlæg;
2;5.58.2;Vandrensningsanlæg;;;Tekniske anlæg;
2;5.58.3;Specialanlæg for væsker;;;Tekniske anlæg;
0;6;El- og mekaniske anlæg;;;;
1;6.60;El- og mekaniske anlæg, terræn;;;Tekniske anlæg;
2;6.60.1;Stikledninger udenfor bygningen;;;Tekniske anlæg;
2;6.60.2;Vej- og pladsbelysningsanlæg;;;Tekniske anlæg;
1;6.62;Højspændingsanlæg;;;Tekniske anlæg;
2;6.62.1;Forsyning;;;Tekniske anlæg;
2;6.62.2;Hovedfordeling;;;Tekniske anlæg;
2;6.62.3;Maskiner og maskinanlæg;;;Tekniske anlæg;
2;6.62.4;El-tekniske anlæg;;;Tekniske anlæg;
2;6.62.5;Sekundære højspændingsanlæg;;;Tekniske anlæg;
1;6.63;Lavspændingsanlæg;;;Tekniske anlæg;
2;6.63.1;Forsyning;;;Tekniske anlæg;
2;6.63.2;Hovedfordeling;;;Tekniske anlæg;
2;6.63.3;Maskiner og maskinanlæg;;;Tekniske anlæg;
2;6.63.4;El-tekniske anlæg;;;Tekniske anlæg;
2;6.63.5;Belysningsanlæg;;;Tekniske anlæg;
2;6.63.6;El-varme;;;Tekniske anlæg;
2;6.63.7;El-apparater;;;Tekniske anlæg;
1;6.64;Elektronik og svagstrøm;;;Tekniske anlæg;
2;6.64.1;Kommunikationsanlæg;;;Tekniske anlæg;
2;6.64.2;Dataanlæg;;;Tekniske anlæg;
2;6.64.3;Informationsanlæg;;;Tekniske anlæg;
2;6.64.4;Sikringsanlæg;;;Tekniske anlæg;
2;6.64.5;Proceskontrolanlæg;;;Tekniske anlæg;
1;6.66;Transportanlæg;;;Tekniske anlæg;
2;6.66.1;Elevatorer;;;Tekniske anlæg;
2;6.66.2;Rullende trapper;;;Tekniske anlæg;
2;6.66.3;Transportbånd;;;Tekniske anlæg;
1;6.67;Mekaniske anlæg, øvrige;;;Tekniske anlæg;
2;6.67.1;Mekaniske anlæg, øvrige;;;Tekniske anlæg;
1;6.68;El-anlæg, øvrige;;;Tekniske anlæg;
2;6.68.1;El-anlæg, øvrige;;;Tekniske anlæg;
0;7;Inventar og udstyr;;;;
1;7.70;Inventar, terræn;;;Øvrige bygningsdele;
2;7.70.1;Tekniske inventarenheder, p-automater m.m.;;;Øvrige bygningsdele;
2;7.70.2;Tavler, skilte og skærme;;;Øvrige bygningsdele;
2;7.70.3;Opbevaring, affaldsstativer, cykelstativer, postkasser m.m.;;;Øvrige bygningsdele;
2;7.70.4;Bordmøbler;;;Øvrige bygningsdele;
2;7.70.5;Siddemøbler;;;Øvrige bygningsdele;
1;7.71;Teknisk inventar;;;Øvrige bygningsdele;
2;7.71.1;Automater for mad, drikke, sæbe m.m.;;;Øvrige bygningsdele;
2;7.71.2;Løse lamper;;;Øvrige bygningsdele;
2;7.71.3;Brandslukningsudstyr;;;Øvrige bygningsdele;
1;7.72;Tavler, skilte og skærme;;;Øvrige bygningsdele;
2;7.72.1;Skilte;;;Øvrige bygningsdele;
2;7.72.2;Spejle;;;Øvrige bygningsdele;
2;7.72.3;AV-udrustning, tavler, projektorskærme;;;Øvrige bygningsdele;
1;7.73;Opbevaringsmøbler;;;Øvrige bygningsdele;
