LCC-SfB Kode;LCC-SfB bygningsdelstavle;FvK-Kode;Forvaltnings Klassifikation
5.52.1;Afløb under bygning (til nærmeste brønd eller ledning);tt.afl.sam;Afløbssystem
5.52.2;Dræn under bygning (omfangsdræn);tt.afl.dræ;Drænledning
5.52.3;Faldstammer, afløbsskåle;bt.afl.ops;Afløb, opsamling
5.52.4;Tagrender og nedløb;bt.afl.ops;Afløb, opsamling  (tagrender)
5.52.5;Forbrugsanlæg (vaske, vaskemaskiner inkl. armaturer for vand);bt.afl.ops;Afløb, opsamling (sanitet)
5.53;Vand;bt.van.sam;Vandsystem (samlet)
5.53.1;Forsyningsanlæg (målere, beholdere m.m.);bt.van.mål;Målerarrangement
5.53.2;Distributionsanlæg (rør, ventiler m.m.);bt.van.rør;Røranlæg
5.53.3;Forbrugsanlæg (diverse aftapning);bt.van.for;Forbrugsanlæg
5.54;Luftarter;bt.gas.sam;Gas og luft
5.54.1;Forsyningsanlæg (kompressorer, målere, beholdere m.m.);bt.gas.sam;Gas og luft
5.54.2;Distributionsanlæg (rør, ventiler m.m.);bt.gas.sam;Gas og luft
5.54.3;Forbrugsanlæg (armaturer, gasradiatorer m.m.);bt.gas.sam;Gas og luft
5.55;Køling;bt.køl.sam;Køleanlæg (samlet)
5.55.1;Forsyningsanlæg (aggregater m.m.);bt.køl.pro;Køleproduktionsanlæg
5.55.2;Distributionsanlæg (rør, ventiler m.m.);bt.køl.rør;Røranlæg
5.55.3;Forbrugsanlæg (fordampere, køleflader, regulering, automatik m.m.);bt.køl.for;Forbrugsanlæg
5.56;Varme;bt.var.sam;Varmeanlæg (samlet)
5.56.1;Forsyningsanlæg (kedler, varmevekslere, målere m.m.);bt.var.pro;Varmeproduktionsanlæg
5.56.2;Distributionsanlæg (rør, ventiler m.m.);bt.var.rør;Røranlæg
5.56.3;Forbrugsanlæg (varmeflader, varmeventilatorer, lokal automatik og regulering m.m.);bt.var.for;Varme, forbrugsanlæg
5.57;Ventilationsanlæg;bt.ven.sam;Ventilationsanlæg (samlet)
5.57.1;Forsyningsanlæg (ventilationscentraler m.m.);bt.ven.agg;Aggregat
5.57.2;Distributionsanlæg (rør, ventiler m.m.);bt.ven.kan;Kanal
5.57.3;Forbrugsanlæg (armaturer, emhætter, aftrækshætter m.m.);bt.ven.iar;Indblæsningsarmatur
5.58;VVS-anlæg, bygning, øvrige;;
5.58.1;Sprinkleranlæg;bt.van.for;Vand, Forbrugsanlæg
5.58.2;Vandrensningsanlæg;bt.van.beh;Vandbehandlingsanlæg
5.58.3;Specialanlæg for væsker;;
6;El- og mekaniske anlæg;;
6.60;El- og mekaniske anlæg, terræn;tt.elf.sam;Elforsyningsanlæg (samlet)
6.60.1;Stikledninger udenfor bygningen;tt.elf.sti;Elforsyning, stikledning
6.60.2;Vej- og pladsbelysningsanlæg;tt.bly.sam;Vej- og pladsbelysningsanlæg
6.62;Højspændingsanlæg;;
6.62.1;Forsyning;bt.elf.sam;Elforsyningsanlæg
6.62.2;Hovedfordeling;bt.elf.sam;Elforsyningsanlæg
6.62.3;Maskiner og maskinanlæg;bt.elf.sam;Elforsyningsanlæg
6.62.4;El-tekniske anlæg;bt.var.sam;Varmeanlæg (samlet)
6.62.5;Sekundære højspændingsanlæg;bt.elf.sam;Elforsyningsanlæg (samlet)
6.63;Lavspændingsanlæg;bt.elf.sam;Elforsyningsanlæg (samlet)
6.63.1;Forsyning;bt.elf.sam;Elforsyningsanlæg (samlet)
6.63.2;Hovedfordeling;bt.elf.sam;Elforsyningsanlæg (samlet)
6.63.3;Maskiner og maskinanlæg;bt.elf.sam;Elforsyningsanlæg (samlet)
6.63.4;El-tekniske anlæg;bt.var.sam;Varmeanlæg (samlet)
6.63.5;Belysningsanlæg;bt.bly.sam;Belysningsanlæg (samlet)
6.63.6;El-varme;bi.elr;El-radiatorer og apparater
6.63.7;El-apparater;bi.elr;El-radiatorer og apparater
6.64;Elektronik og svagstrøm;;
