Level	FromCode	FromName_da	FromName_en	ToCode	ToName_da	ToName_en
0	5	VVS-anlæg				
1	5.50	VVS-anlæg, terræn				
2	5.50.1	Afløb, stikledninger og overfladeafvanding		tt.afl.led	Afløb, ledning	
2	5.50.2	Drænledninger		tt.afl.dræ	Afløb, drænledning	
2	5.50.3	Vand, stikledninger, brandhaner, vandposte		tt.van.led	Vand, ledning	
2	5.50.4	Naturgas, stikledninger		tt.gas.sti	Gas, stikledning	
2	5.50.5	Fjernvarme, stikledninger		tt.var.sti	Varme, stikledning	
2	5.50.6	Tanke for olie og gas		tt.gas.tan	Tanke, gas	
2	5.50.7	Ledninger m.m. for jordvarme		tt.aut.sam	Automationssystem	
1	5.51	Affald				
2	5.51.1	Affaldsanlæg		bi.aff	Affaldscontainer, -beholder	
1	5.52	Afløb og sanitet				
2	5.52.1	Afløb under bygning (til nærmeste brønd eller ledning)		tt.afl.sam	Afløbssystem	
2	5.52.2	Dræn under bygning (omfangsdræn)		tt.afl.dræ	Drænledning	
2	5.52.3	Faldstammer, afløbsskåle		bt.afl.ops	Afløb, opsamling	
2	5.52.4	Tagrender og nedløb		bt.afl.ops	Afløb, opsamling  (tagrender)	
2	5.52.5	Forbrugsanlæg (vaske, vaskemaskiner inkl. armaturer for vand)		bt.afl.ops	Afløb, opsamling (sanitet)	
1	5.53	Vand		bt.van.sam	Vandsystem (samlet)	
2	5.53.1	Forsyningsanlæg (målere, beholdere m.m.)		bt.van.mål	Målerarrangement	
2	5.53.2	Distributionsanlæg (rør, ventiler m.m.)		bt.van.rør	Røranlæg	
2	5.53.3	Forbrugsanlæg (diverse aftapning)		bt.van.for	Forbrugsanlæg	
1	5.54	Luftarter		bt.gas.sam	Gas og luft	
2	5.54.1	Forsyningsanlæg (kompressorer, målere, beholdere m.m.)		bt.gas.sam	Gas og luft	
2	5.54.2	Distributionsanlæg (rør, ventiler m.m.)		bt.gas.sam	Gas og luft	
2	5.54.3	Forbrugsanlæg (armaturer, gasradiatorer m.m.)		bt.gas.sam	Gas og luft	
1	5.55	Køling		bt.køl.sam	Køleanlæg (samlet)	
2	5.55.1	Forsyningsanlæg (aggregater m.m.)		bt.køl.pro	Køleproduktionsanlæg	
2	5.55.2	Distributionsanlæg (rør, ventiler m.m.)		bt.køl.rør	Røranlæg	
2	5.55.3	Forbrugsanlæg (fordampere, køleflader, regulering, automatik m.m.)		bt.køl.for	Forbrugsanlæg	
1	5.56	Varme		bt.var.sam	Varmeanlæg (samlet)	
2	5.56.1	Forsyningsanlæg (kedler, varmevekslere, målere m.m.)		bt.var.pro	Varmeproduktionsanlæg	
2	5.56.2	Distributionsanlæg (rør, ventiler m.m.)		bt.var.rør	Røranlæg	
2	5.56.3	Forbrugsanlæg (varmeflader, varmeventilatorer, lokal automatik og regulering m.m.)		bt.var.for	Varme, forbrugsanlæg	
1	5.57	Ventilationsanlæg		bt.ven.sam	Ventilationsanlæg (samlet)	
2	5.57.1	Forsyningsanlæg (ventilationscentraler m.m.)		bt.ven.agg	Aggregat	
2	5.57.2	Distributionsanlæg (rør, ventiler m.m.)		bt.ven.kan	Kanal	
2	5.57.3	Forbrugsanlæg (armaturer, emhætter, aftrækshætter m.m.)		bt.ven.iar	Indblæsningsarmatur	
1	5.58	VVS-anlæg, bygning, øvrige				
2	5.58.1	Sprinkleranlæg		bt.van.for	Vand, Forbrugsanlæg	
2	5.58.2	Vandrensningsanlæg		bt.van.beh	Vandbehandlingsanlæg	
2	5.58.3	Specialanlæg for væsker				
0	6	El- og mekaniske anlæg				
1	6.60	El- og mekaniske anlæg, terræn		tt.elf.sam	Elforsyningsanlæg (samlet)	
2	6.60.1	Stikledninger udenfor bygningen		tt.elf.sti	Elforsyning, stikledning	
2	6.60.2	Vej- og pladsbelysningsanlæg		tt.bly.sam	Vej- og pladsbelysningsanlæg	
1	6.62	Højspændingsanlæg				
2	6.62.1	Forsyning		bt.elf.sam	Elforsyningsanlæg	
2	6.62.2	Hovedfordeling		bt.elf.sam	Elforsyningsanlæg	
2	6.62.3	Maskiner og maskinanlæg		bt.elf.sam	Elforsyningsanlæg	
2	6.62.4	El-tekniske anlæg		bt.var.sam	Varmeanlæg (samlet)	
2	6.62.5	Sekundære højspændingsanlæg		bt.elf.sam	Elforsyningsanlæg (samlet)	
1	6.63	Lavspændingsanlæg		bt.elf.sam	Elforsyningsanlæg (samlet)	
2	6.63.1	Forsyning		bt.elf.sam	Elforsyningsanlæg (samlet)	
2	6.63.2	Hovedfordeling		bt.elf.sam	Elforsyningsanlæg (samlet)	
2	6.63.3	Maskiner og maskinanlæg		bt.elf.sam	Elforsyningsanlæg (samlet)	
2	6.63.4	El-tekniske anlæg		bt.var.sam	Varmeanlæg (samlet)	
